#Type
otu_id	cluster	indicator_value	p_value	H1	H10	H27	H28	H29	H30	H31	H32	H33	H34	H4	H5	H50	H51	H52	H58	H6	H7	H8	H9	SubGmCP1	SubGmCP10	SubGmCP11	SubGmCP13	SubGmCP2	SubGmCP3	SubGmCP4	SubGmCP5	SubGmCP6	SubGmCP7	SubGmCP8	SubGmCP9	SubGR1	SubGR2	SubGR3	SubGR4	SubGR5	SubGR6	SubGR7	SubGR8	SubGsCP1	SubGsCP10	SubGsCP11	SubGsCP12	SubGsCP13	SubGsCP2	SubGsCP3	SubGsCP5	SubGsCP7	SubGsCP8	SubGsCP9
X94ecd2179818a382ee3dab04fca2c1f1	Moderate	0.3306	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	8.0	2.0	11.0	39.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Xfdb12b13b123c02ac393a7e7f4225c2e	Moderate	0.3227	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	40.0	125.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
X401caf2d311828832d132da5745e3076	Moderate	0.2918	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
X8d65a8a32ba1f0892c52e24bee9eff2a	Moderate	0.2500	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xcf63e09c9e3f8111fe73f85ae410c295	Moderate	0.2500	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xd9ba565fe403ca36b1922ad84e6e57fb	Refractory	0.7436	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	233.0	668.0	6.0	56.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X4f793a16978fd8d1e989716d00f54ad7	Refractory	0.6921	0.001	0.0	9.0	72.0	0.0	8.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	10.0	0.0	7.0	0.0	0.0	57.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	81.0	8.0	11.0	47.0	31.0	140.0	485.0	0.0	18.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0
X04d8328ce9c9dee0244254f6f6aa8583	Refractory	0.6105	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	25.0	17.0	2.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X1c5dc764bb7ae6e578333a49f292dddf	Refractory	0.6104	0.004	111.0	22.0	34.0	52.0	0.0	0.0	51.0	3.0	0.0	0.0	0.0	0.0	40.0	28.0	178.0	84.0	60.0	10.0	15.0	0.0	43.0	129.0	12.0	35.0	35.0	133.0	2.0	141.0	35.0	5.0	0.0	0.0	83.0	62.0	323.0	188.0	214.0	40.0	0.0	674.0	0.0	0.0	19.0	0.0	1.0	0.0	11.0	0.0	5.0	7.0	0.0
Xf84348c5553d9d44e95252418471bc42	Refractory	0.5990	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	2.0	4.0	3.0	26.0	12.0	0.0	135.0	4.0	0.0	0.0	0.0	9.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
X990053ca46e4e8c451e12e9c1129ba99	Refractory	0.5246	0.002	11.0	0.0	0.0	0.0	59.0	7.0	48.0	18.0	0.0	0.0	0.0	0.0	0.0	27.0	15.0	27.0	0.0	0.0	4.0	0.0	0.0	88.0	0.0	0.0	19.0	0.0	0.0	1.0	55.0	0.0	0.0	0.0	0.0	16.0	118.0	13.0	23.0	19.0	6.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xe778b4761c1ad5dd7c8fb830b3e00525	Refractory	0.4857	0.009	1.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	13.0	0.0	0.0	0.0	17.0	1057.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
X8f631299d60b05e805b3b8a69a3c915c	Refractory	0.3957	0.007	4.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	26.0	0.0	0.0	16.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0	0.0	0.0	0.0
X5106888b83c6a2f0210b4923c146ec98	Refractory	0.3703	0.006	0.0	7.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	5.0	28.0	5.0	0.0	0.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
