# Constructed from biom file
#OTU ID	H19	H20	H21	H22	H23	H24	H25	H26	H3	H43	H44	H45	H46	H47	H48	H49	H56	H57	H59	H60	TonguemCP1	TonguemCP10	TonguemCP11	TonguemCP12	TonguemCP13	TonguemCP2	TonguemCP3	TonguemCP4	TonguemCP5	TonguemCP6	TonguemCP7	TonguemCP8	TonguemCP9	TongueR1	TongueR2	TongueR3	TongueR4	TongueR5	TongueR6	TongueR7	TongueR8	TonguesCP1	TonguesCP11	TonguesCP12	TonguesCP13	TonguesCP2	TonguesCP3	TonguesCP5	TonguesCP6	TonguesCP7	TonguesCP8	TonguesCP9
65f2bab1c7e3da83fd12bb90701e65a0	147.0	239.0	180.0	212.0	157.0	286.0	37.0	21.0	558.0	526.0	653.0	8.0	152.0	211.0	449.0	0.0	13.0	508.0	110.0	17.0	149.0	0.0	12.0	0.0	0.0	189.0	37.0	1325.0	55.0	197.0	0.0	54.0	130.0	144.0	109.0	0.0	379.0	366.0	0.0	426.0	380.0	23.0	143.0	0.0	110.0	176.0	170.0	335.0	294.0	1112.0	763.0	28.0
269fd6cc72ac3496ef59fee61b7a0ace	177.0	541.0	349.0	96.0	672.0	377.0	32.0	0.0	215.0	388.0	360.0	12.0	40.0	190.0	1056.0	1362.0	46.0	193.0	7.0	0.0	175.0	0.0	58.0	0.0	0.0	342.0	0.0	476.0	57.0	127.0	0.0	366.0	19.0	302.0	12.0	140.0	17.0	140.0	335.0	120.0	13.0	183.0	65.0	376.0	0.0	336.0	284.0	83.0	3.0	629.0	193.0	4.0
b24064dd451dbc5384f2c37b311f5f34	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	22.0	0.0	148.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	162.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0
969ba38a4fdc564e5f4d5aa9a8c1a71c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9b2fcfae23988780e93be6d86007e951	0.0	0.0	15.0	7.0	0.0	0.0	0.0	6.0	1.0	8.0	0.0	0.0	56.0	17.0	0.0	0.0	0.0	12.0	49.0	0.0	0.0	3.0	4.0	0.0	36.0	0.0	0.0	0.0	4.0	42.0	3.0	9.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
6f3466d56975b5fb37be10d34c5b6ded	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	10.0	24.0	70.0	0.0	198.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	14.0	9.0	0.0	0.0	47.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	6.0	47.0	0.0	0.0	1.0	0.0
51394f6f03e02ef7d674fcb69f10b5e5	331.0	617.0	51.0	314.0	38.0	205.0	210.0	149.0	35.0	0.0	295.0	40.0	1304.0	0.0	61.0	0.0	55.0	11.0	24.0	19.0	79.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	11.0	5.0	0.0	0.0	0.0	140.0	1060.0	0.0	1133.0	39.0	0.0	59.0	0.0	0.0	17.0	0.0	314.0	1204.0	0.0	285.0	4.0	36.0	15.0	0.0
47c83520d97c85203b093010d411fbbb	160.0	407.0	0.0	153.0	446.0	138.0	24.0	0.0	399.0	1063.0	731.0	0.0	0.0	0.0	0.0	93.0	0.0	49.0	42.0	0.0	78.0	0.0	0.0	0.0	0.0	719.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	0.0	113.0	0.0	0.0	831.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	275.0	0.0	143.0	12.0	1363.0	0.0
3fca09f6acdf17f2db902a9a08f462e5	512.0	645.0	423.0	135.0	404.0	24.0	42.0	48.0	69.0	555.0	757.0	99.0	157.0	142.0	0.0	663.0	20.0	156.0	99.0	244.0	222.0	0.0	48.0	5.0	0.0	115.0	5.0	135.0	126.0	170.0	57.0	653.0	32.0	101.0	66.0	93.0	81.0	167.0	8.0	132.0	73.0	1.0	240.0	377.0	29.0	236.0	11.0	187.0	217.0	508.0	189.0	9.0
e778b4761c1ad5dd7c8fb830b3e00525	0.0	0.0	91.0	0.0	54.0	32.0	349.0	0.0	549.0	16.0	0.0	23.0	0.0	126.0	44.0	0.0	80.0	0.0	57.0	397.0	0.0	6.0	204.0	0.0	0.0	518.0	173.0	44.0	126.0	77.0	37.0	245.0	203.0	390.0	0.0	0.0	39.0	42.0	0.0	112.0	135.0	0.0	0.0	0.0	39.0	291.0	236.0	0.0	116.0	229.0	0.0	79.0
645f3bcecdd724f6017317fcc447a48a	0.0	0.0	0.0	0.0	0.0	0.0	42.0	44.0	0.0	0.0	0.0	0.0	83.0	717.0	0.0	230.0	167.0	566.0	1031.0	301.0	353.0	0.0	8.0	0.0	0.0	0.0	496.0	356.0	586.0	25.0	9.0	2081.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	1071.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	618.0	0.0	0.0	320.0
4cbcd12f48ab9d6cead4e2ea99b82f8a	0.0	9.0	0.0	0.0	38.0	11.0	0.0	0.0	17.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	646.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	5.0	0.0	0.0
618547fb6ead28afb8c4b96f92483571	225.0	68.0	604.0	36.0	150.0	0.0	85.0	172.0	63.0	92.0	910.0	128.0	0.0	174.0	38.0	45.0	53.0	355.0	220.0	19.0	126.0	0.0	184.0	0.0	0.0	0.0	49.0	64.0	12.0	30.0	23.0	58.0	103.0	0.0	0.0	47.0	0.0	20.0	892.0	179.0	105.0	223.0	53.0	0.0	0.0	0.0	0.0	0.0	173.0	0.0	5.0	64.0
e39028fe8156879ed5ce74c3009e9dc4	0.0	0.0	0.0	0.0	86.0	0.0	0.0	14.0	18.0	5.0	13.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	769.0	0.0	24.0	187.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
1c5dc764bb7ae6e578333a49f292dddf	0.0	0.0	12.0	7.0	9.0	0.0	5.0	6.0	13.0	5.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	115.0	1.0	0.0	30.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	12.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0
8eaa2f1771299b8ce2888278071123ec	0.0	1.0	0.0	5.0	55.0	14.0	0.0	23.0	46.0	0.0	2.0	3.0	38.0	0.0	0.0	21.0	0.0	5.0	1.0	0.0	0.0	186.0	0.0	232.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	23.0	0.0	2.0	0.0	0.0	9.0	0.0	0.0
b748ecede2d70822eaf8118aabfbfd3e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
